Detail,Count
Unknown,429
Valve,162
Loading/Unloading,99
Corrosion,68
Unanticipated Volume,33
Fitting,32
Valve - Froze,25
Froze,22
Disconnected,18
Liner,13
Gasket,12
Flood,12
Valve/Connection,11
Vandalism,11
Well Kick,10
Line Plugged,10
Transport Delay,8
Weld,8
Seal,7
Illegal Dumping,7
Rupture Disk,6
In Transit,5
Tank,5
Float,5
Fire Tube,5
Pump,4
Liner Failed,3
Snow Melt,3
High Water Alarm,3
Power Failure,3
Flowline,3
Manifold,3
Fracture Propagation,3
Choke Body,3
Well Communication,3
Fire,3
Gauge,2
Oil Dump,2
Well Casing Valve,2
Wall Collapse,2
Polish Rod,2
Hole,2
Switch,2
Rubbers,2
Transport,2
Bull Plug,2
